@RELATION mail

@ATTRIBUTE length NUMERIC
@ATTRIBUTE num_chunks NUMERIC
@ATTRIBUTE num_letters NUMERIC
@ATTRIBUTE word_mean NUMERIC
@ATTRIBUTE num_words NUMERIC
@ATTRIBUTE 'num_{\ }' NUMERIC
@ATTRIBUTE 'num_{\!}' NUMERIC
@ATTRIBUTE 'num_{\"}' NUMERIC
@ATTRIBUTE 'num_{\#}' NUMERIC
@ATTRIBUTE 'num_{\$}' NUMERIC
@ATTRIBUTE 'num_{\%}' NUMERIC
@ATTRIBUTE 'num_{\&}' NUMERIC
@ATTRIBUTE 'num_{\'}' NUMERIC
@ATTRIBUTE 'num_{\(}' NUMERIC
@ATTRIBUTE 'num_{\)}' NUMERIC
@ATTRIBUTE 'num_{\*}' NUMERIC
@ATTRIBUTE 'num_{\+}' NUMERIC
@ATTRIBUTE 'num_{\,}' NUMERIC
@ATTRIBUTE 'num_{\-}' NUMERIC
@ATTRIBUTE 'num_{\.}' NUMERIC
@ATTRIBUTE 'num_{\/}' NUMERIC
@ATTRIBUTE 'num_{0}' NUMERIC
@ATTRIBUTE 'num_{1}' NUMERIC
@ATTRIBUTE 'num_{2}' NUMERIC
@ATTRIBUTE 'num_{3}' NUMERIC
@ATTRIBUTE 'num_{4}' NUMERIC
@ATTRIBUTE 'num_{5}' NUMERIC
@ATTRIBUTE 'num_{6}' NUMERIC
@ATTRIBUTE 'num_{7}' NUMERIC
@ATTRIBUTE 'num_{8}' NUMERIC
@ATTRIBUTE 'num_{9}' NUMERIC
@ATTRIBUTE 'num_{\:}' NUMERIC
@ATTRIBUTE 'num_{\;}' NUMERIC
@ATTRIBUTE 'num_{\<}' NUMERIC
@ATTRIBUTE 'num_{\=}' NUMERIC
@ATTRIBUTE 'num_{\>}' NUMERIC
@ATTRIBUTE 'num_{\?}' NUMERIC
@ATTRIBUTE 'num_{\@}' NUMERIC
@ATTRIBUTE 'num_{A}' NUMERIC
@ATTRIBUTE 'num_{B}' NUMERIC
@ATTRIBUTE 'num_{C}' NUMERIC
@ATTRIBUTE 'num_{D}' NUMERIC
@ATTRIBUTE 'num_{E}' NUMERIC
@ATTRIBUTE 'num_{F}' NUMERIC
@ATTRIBUTE 'num_{G}' NUMERIC
@ATTRIBUTE 'num_{H}' NUMERIC
@ATTRIBUTE 'num_{I}' NUMERIC
@ATTRIBUTE 'num_{J}' NUMERIC
@ATTRIBUTE 'num_{K}' NUMERIC
@ATTRIBUTE 'num_{L}' NUMERIC
@ATTRIBUTE 'num_{M}' NUMERIC
@ATTRIBUTE 'num_{N}' NUMERIC
@ATTRIBUTE 'num_{O}' NUMERIC
@ATTRIBUTE 'num_{P}' NUMERIC
@ATTRIBUTE 'num_{Q}' NUMERIC
@ATTRIBUTE 'num_{R}' NUMERIC
@ATTRIBUTE 'num_{S}' NUMERIC
@ATTRIBUTE 'num_{T}' NUMERIC
@ATTRIBUTE 'num_{U}' NUMERIC
@ATTRIBUTE 'num_{V}' NUMERIC
@ATTRIBUTE 'num_{W}' NUMERIC
@ATTRIBUTE 'num_{X}' NUMERIC
@ATTRIBUTE 'num_{Y}' NUMERIC
@ATTRIBUTE 'num_{Z}' NUMERIC
@ATTRIBUTE 'num_{\[}' NUMERIC
@ATTRIBUTE 'num_{\\}' NUMERIC
@ATTRIBUTE 'num_{\]}' NUMERIC
@ATTRIBUTE 'num_{\^}' NUMERIC
@ATTRIBUTE 'num_{_}' NUMERIC
@ATTRIBUTE 'num_{\`}' NUMERIC
@ATTRIBUTE 'num_{a}' NUMERIC
@ATTRIBUTE 'num_{b}' NUMERIC
@ATTRIBUTE 'num_{c}' NUMERIC
@ATTRIBUTE 'num_{d}' NUMERIC
@ATTRIBUTE 'num_{e}' NUMERIC
@ATTRIBUTE 'num_{f}' NUMERIC
@ATTRIBUTE 'num_{g}' NUMERIC
@ATTRIBUTE 'num_{h}' NUMERIC
@ATTRIBUTE 'num_{i}' NUMERIC
@ATTRIBUTE 'num_{j}' NUMERIC
@ATTRIBUTE 'num_{k}' NUMERIC
@ATTRIBUTE 'num_{l}' NUMERIC
@ATTRIBUTE 'num_{m}' NUMERIC
@ATTRIBUTE 'num_{n}' NUMERIC
@ATTRIBUTE 'num_{o}' NUMERIC
@ATTRIBUTE 'num_{p}' NUMERIC
@ATTRIBUTE 'num_{q}' NUMERIC
@ATTRIBUTE 'num_{r}' NUMERIC
@ATTRIBUTE 'num_{s}' NUMERIC
@ATTRIBUTE 'num_{t}' NUMERIC
@ATTRIBUTE 'num_{u}' NUMERIC
@ATTRIBUTE 'num_{v}' NUMERIC
@ATTRIBUTE 'num_{w}' NUMERIC
@ATTRIBUTE 'num_{x}' NUMERIC
@ATTRIBUTE 'num_{y}' NUMERIC
@ATTRIBUTE 'num_{z}' NUMERIC
@ATTRIBUTE 'num_{\{}' NUMERIC
@ATTRIBUTE 'num_{\|}' NUMERIC
@ATTRIBUTE 'num_{\}}' NUMERIC
@ATTRIBUTE 'num_{\~}' NUMERIC
@ATTRIBUTE 'word_len_{1}' NUMERIC
@ATTRIBUTE 'word_len_{2}' NUMERIC
@ATTRIBUTE 'word_len_{3}' NUMERIC
@ATTRIBUTE 'word_len_{4}' NUMERIC
@ATTRIBUTE 'word_len_{5}' NUMERIC
@ATTRIBUTE 'word_len_{6}' NUMERIC
@ATTRIBUTE 'word_len_{7}' NUMERIC
@ATTRIBUTE 'word_len_{8}' NUMERIC
@ATTRIBUTE 'word_len_{9}' NUMERIC
@ATTRIBUTE 'word_len_{10}' NUMERIC
@ATTRIBUTE 'word_len_{11}' NUMERIC
@ATTRIBUTE 'word_len_{12}' NUMERIC
@ATTRIBUTE 'word_len_{13}' NUMERIC
@ATTRIBUTE 'word_len_{14}' NUMERIC
@ATTRIBUTE 'word_len_{15}' NUMERIC
@ATTRIBUTE 'word_len_{16}' NUMERIC
@ATTRIBUTE 'word_len_{17}' NUMERIC
@ATTRIBUTE 'word_len_{18}' NUMERIC
@ATTRIBUTE 'word_len_{19}' NUMERIC
@ATTRIBUTE 'word_len_{20}' NUMERIC
@ATTRIBUTE 'consequent_{2}' NUMERIC
@ATTRIBUTE 'consequent_{3}' NUMERIC
@ATTRIBUTE 'consequent_{4}' NUMERIC
@ATTRIBUTE 'consequent_{5}' NUMERIC
@ATTRIBUTE 'consequent_{6}' NUMERIC
@ATTRIBUTE 'consequent_{7}' NUMERIC
@ATTRIBUTE 'consequent_{8}' NUMERIC
@ATTRIBUTE 'consequent_{9}' NUMERIC
@ATTRIBUTE 'consequent_{10}' NUMERIC
@ATTRIBUTE num_spam NUMERIC
@ATTRIBUTE 'num_spam_word{Africa}' NUMERIC
@ATTRIBUTE 'num_spam_word{akcija}' NUMERIC
@ATTRIBUTE 'num_spam_word{discount}' NUMERIC
@ATTRIBUTE 'num_spam_word{dovana}' NUMERIC
@ATTRIBUTE 'num_spam_word{enlarge}' NUMERIC
@ATTRIBUTE 'num_spam_word{help}' NUMERIC
@ATTRIBUTE 'num_spam_word{laimėjote}' NUMERIC
@ATTRIBUTE 'num_spam_word{milijonas}' NUMERIC
@ATTRIBUTE 'num_spam_word{million}' NUMERIC
@ATTRIBUTE 'num_spam_word{nemokamai}' NUMERIC
@ATTRIBUTE 'num_spam_word{nuolaida}' NUMERIC
@ATTRIBUTE 'num_spam_word{penis}' NUMERIC
@ATTRIBUTE 'num_spam_word{poverty}' NUMERIC
@ATTRIBUTE 'num_spam_word{prizas}' NUMERIC
@ATTRIBUTE 'num_spam_word{prize}' NUMERIC
@ATTRIBUTE 'num_spam_word{sex}' NUMERIC
@ATTRIBUTE 'num_spam_word{viagra}' NUMERIC
@ATTRIBUTE 'num_spam_word{won}' NUMERIC
@ATTRIBUTE num_money NUMERIC
@ATTRIBUTE class {0,1}

@DATA
6962, 312, 6497, 20.8237179487179, 1897, 199, 1, 30, 3, 0, 0, 6, 0, 7, 7, 0, 2, 25, 15, 47, 71, 711, 348, 117, 69, 51, 90, 19, 37, 332, 30, 29, 7, 39, 1721, 39, 2, 3, 24, 579, 51, 898, 88, 39, 1, 2, 2, 3, 0, 0, 6, 0, 1, 6, 0, 5, 3, 3, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 60, 21, 66, 49, 115, 38, 14, 32, 35, 1, 6, 31, 29, 43, 93, 32, 3, 72, 52, 73, 24, 10, 4, 4, 13, 1, 0, 0, 0, 0, 16, 9, 18, 18, 16, 20, 12, 3, 7, 9, 7, 25, 6, 1, 1, 4, 1, 8, 2, 1, 54, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
647, 43, 593, 13.7906976744186, 97, 32, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 5, 4, 16, 11, 0, 26, 20, 6, 13, 13, 15, 7, 12, 6, 5, 16, 1, 3, 12, 3, 8, 5, 8, 2, 6, 8, 3, 3, 4, 3, 5, 0, 2, 4, 15, 0, 7, 6, 6, 11, 5, 10, 4, 3, 3, 7, 4, 7, 0, 0, 0, 0, 5, 0, 16, 11, 8, 7, 24, 3, 11, 6, 27, 4, 4, 12, 16, 13, 14, 4, 2, 6, 11, 6, 12, 8, 5, 4, 3, 6, 0, 0, 0, 0, 2, 2, 5, 7, 6, 0, 0, 4, 1, 0, 3, 1, 3, 0, 1, 0, 0, 0, 1, 0, 14, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2870, 280, 2525, 9.01785714285714, 514, 231, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 34, 29, 29, 12, 28, 30, 12, 15, 78, 54, 12, 19, 35, 43, 7, 3, 23, 241, 23, 8, 2, 34, 20, 109, 14, 8, 19, 2, 0, 4, 5, 0, 0, 0, 4, 0, 0, 2, 1, 2, 12, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 211, 35, 16, 50, 103, 6, 46, 3, 218, 15, 75, 38, 60, 94, 59, 33, 2, 100, 119, 105, 84, 42, 0, 2, 20, 2, 0, 0, 0, 0, 10, 13, 33, 30, 22, 12, 22, 17, 15, 19, 16, 8, 15, 3, 10, 6, 6, 4, 2, 2, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2681, 173, 2301, 13.3005780346821, 379, 295, 0, 0, 0, 0, 0, 0, 0, 11, 11, 0, 10, 9, 48, 64, 14, 95, 67, 85, 27, 20, 46, 35, 30, 29, 22, 65, 17, 7, 30, 7, 4, 13, 22, 9, 10, 20, 18, 8, 14, 13, 10, 7, 13, 11, 33, 7, 17, 24, 10, 24, 27, 28, 9, 9, 11, 25, 13, 18, 1, 0, 1, 0, 5, 0, 78, 26, 54, 53, 104, 22, 55, 27, 111, 16, 20, 52, 77, 48, 73, 27, 2, 41, 67, 47, 38, 20, 15, 21, 13, 11, 0, 0, 0, 0, 3, 20, 12, 29, 16, 4, 3, 10, 8, 4, 6, 7, 6, 3, 2, 1, 2, 1, 1, 2, 146, 49, 38, 20, 20, 20, 17, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13429, 1475, 11673, 7.91389830508475, 2569, 1262, 0, 35, 1, 0, 0, 9, 0, 14, 14, 0, 0, 170, 58, 125, 48, 28, 106, 29, 64, 294, 310, 8, 97, 130, 165, 26, 14, 93, 1198, 109, 8, 5, 178, 150, 515, 61, 76, 45, 12, 2, 12, 21, 4, 2, 10, 4, 0, 4, 2, 3, 10, 16, 4, 4, 0, 0, 2, 0, 0, 0, 0, 0, 7, 0, 978, 145, 37, 237, 439, 21, 179, 29, 1031, 127, 356, 208, 306, 419, 384, 194, 13, 414, 562, 457, 464, 246, 12, 9, 96, 8, 0, 0, 0, 0, 71, 148, 178, 141, 111, 95, 141, 86, 72, 57, 77, 43, 49, 39, 37, 22, 22, 13, 14, 11, 67, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
789, 45, 729, 16.2, 114, 32, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 5, 4, 24, 15, 0, 30, 16, 7, 15, 10, 14, 6, 12, 14, 6, 16, 1, 5, 13, 5, 8, 7, 11, 6, 8, 10, 7, 6, 7, 5, 5, 0, 1, 6, 14, 2, 9, 8, 8, 10, 6, 15, 3, 3, 4, 7, 7, 13, 0, 0, 0, 0, 7, 0, 24, 10, 12, 8, 26, 3, 16, 5, 35, 7, 4, 16, 25, 16, 16, 6, 3, 6, 15, 7, 16, 8, 6, 4, 5, 7, 0, 0, 0, 0, 2, 2, 5, 7, 6, 0, 0, 4, 1, 0, 3, 1, 3, 0, 1, 0, 0, 0, 1, 0, 16, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1219, 76, 1102, 14.5, 195, 55, 0, 18, 1, 0, 0, 2, 0, 0, 0, 0, 0, 4, 23, 18, 10, 21, 14, 14, 15, 14, 24, 12, 9, 14, 9, 15, 7, 22, 58, 23, 8, 5, 10, 4, 23, 14, 2, 5, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 3, 4, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 81, 17, 34, 27, 52, 7, 17, 4, 60, 6, 24, 42, 22, 31, 29, 20, 6, 33, 37, 57, 21, 10, 0, 7, 7, 0, 0, 0, 0, 0, 8, 4, 2, 5, 4, 6, 0, 2, 0, 1, 1, 0, 7, 0, 3, 3, 1, 5, 3, 2, 14, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2874, 175, 2488, 14.2171428571429, 398, 295, 0, 0, 0, 0, 0, 0, 0, 11, 11, 0, 13, 10, 49, 68, 11, 102, 71, 63, 44, 36, 38, 30, 35, 41, 28, 65, 17, 9, 41, 9, 8, 15, 28, 12, 17, 27, 20, 13, 16, 15, 11, 9, 10, 12, 33, 12, 21, 24, 11, 28, 25, 36, 10, 11, 15, 17, 14, 19, 1, 0, 1, 0, 10, 0, 80, 31, 58, 46, 110, 23, 61, 26, 116, 18, 20, 51, 87, 50, 80, 29, 13, 46, 60, 49, 37, 20, 18, 22, 21, 13, 0, 0, 0, 0, 3, 20, 12, 29, 16, 4, 3, 10, 8, 4, 6, 7, 6, 3, 2, 1, 1, 1, 1, 2, 136, 49, 38, 20, 20, 20, 17, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2032, 136, 1829, 13.4485294117647, 344, 95, 0, 42, 2, 0, 0, 4, 0, 0, 0, 0, 0, 6, 29, 26, 21, 27, 32, 11, 31, 18, 28, 12, 9, 27, 9, 23, 11, 53, 108, 64, 8, 8, 16, 8, 37, 30, 2, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 5, 8, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 118, 45, 47, 59, 79, 10, 31, 5, 110, 8, 33, 73, 39, 49, 45, 28, 10, 63, 57, 85, 35, 28, 0, 11, 8, 0, 0, 0, 0, 0, 20, 13, 2, 8, 5, 9, 0, 4, 1, 1, 2, 3, 9, 3, 3, 4, 2, 5, 8, 1, 30, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
931, 47, 865, 18.4042553191489, 123, 32, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 7, 4, 23, 19, 0, 27, 22, 17, 16, 11, 18, 6, 14, 10, 6, 16, 1, 7, 13, 7, 8, 9, 14, 9, 12, 10, 9, 5, 12, 7, 5, 2, 3, 7, 14, 6, 10, 15, 10, 15, 8, 14, 3, 3, 7, 11, 7, 13, 0, 0, 0, 0, 7, 0, 29, 11, 18, 10, 28, 5, 20, 7, 38, 6, 8, 20, 33, 15, 17, 5, 6, 10, 13, 8, 16, 8, 9, 8, 7, 9, 0, 0, 0, 0, 2, 2, 5, 7, 6, 0, 0, 4, 1, 0, 3, 1, 3, 0, 1, 0, 0, 0, 1, 0, 16, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2865, 208, 2580, 12.4038461538462, 497, 147, 0, 62, 4, 0, 0, 6, 0, 0, 0, 0, 0, 14, 31, 39, 31, 39, 46, 14, 43, 32, 43, 8, 29, 26, 23, 31, 15, 78, 161, 110, 8, 11, 24, 12, 55, 42, 3, 5, 0, 1, 0, 7, 0, 0, 0, 0, 1, 0, 2, 5, 10, 10, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15, 0, 168, 44, 52, 73, 100, 19, 41, 7, 154, 13, 56, 103, 53, 62, 65, 41, 14, 85, 88, 122, 49, 40, 0, 15, 15, 0, 0, 0, 0, 0, 29, 24, 7, 10, 6, 18, 3, 6, 2, 3, 3, 2, 14, 6, 5, 5, 5, 12, 6, 3, 58, 6, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1480, 151, 1234, 8.17218543046358, 254, 192, 0, 0, 0, 0, 0, 0, 0, 11, 11, 0, 4, 8, 17, 58, 3, 67, 55, 35, 27, 15, 29, 18, 18, 19, 14, 33, 6, 3, 3, 3, 0, 10, 9, 1, 1, 7, 4, 3, 4, 2, 1, 0, 0, 1, 11, 0, 1, 13, 0, 9, 8, 11, 0, 0, 0, 4, 0, 0, 3, 0, 3, 0, 0, 0, 25, 17, 24, 35, 66, 13, 30, 12, 67, 3, 2, 32, 34, 38, 64, 31, 0, 42, 28, 48, 27, 8, 10, 6, 8, 1, 0, 0, 0, 0, 0, 22, 17, 23, 17, 7, 5, 9, 9, 0, 4, 6, 5, 6, 2, 3, 2, 0, 1, 1, 78, 23, 18, 10, 8, 8, 7, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
789, 45, 729, 16.2, 113, 32, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 4, 4, 24, 15, 0, 27, 22, 11, 11, 15, 17, 7, 9, 10, 3, 16, 1, 5, 13, 5, 8, 7, 11, 7, 9, 7, 7, 6, 7, 4, 5, 0, 1, 6, 12, 2, 8, 8, 9, 12, 6, 17, 3, 2, 3, 8, 9, 15, 0, 0, 0, 0, 5, 0, 25, 9, 11, 8, 29, 2, 14, 4, 34, 7, 5, 16, 24, 12, 15, 7, 4, 6, 15, 6, 20, 8, 6, 4, 5, 8, 0, 0, 0, 0, 2, 2, 5, 7, 6, 0, 0, 4, 1, 0, 3, 1, 3, 0, 1, 0, 0, 0, 1, 0, 17, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32034, 3484, 27883, 8.00315729047072, 6130, 2963, 0, 177, 20, 0, 0, 29, 0, 36, 42, 4, 0, 378, 140, 291, 154, 105, 240, 36, 218, 610, 691, 12, 249, 264, 377, 89, 84, 328, 2807, 451, 10, 8, 390, 388, 1187, 177, 185, 89, 16, 3, 20, 35, 8, 4, 16, 18, 9, 8, 2, 3, 20, 34, 4, 4, 0, 0, 2, 1, 0, 0, 0, 0, 28, 0, 2244, 366, 154, 702, 1050, 74, 443, 33, 2376, 272, 796, 638, 688, 963, 923, 441, 86, 942, 1241, 1091, 951, 572, 12, 64, 236, 24, 0, 0, 0, 0, 284, 308, 420, 339, 217, 195, 300, 197, 152, 131, 171, 98, 113, 103, 86, 54, 67, 36, 26, 44, 183, 35, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
860, 46, 797, 17.3260869565217, 116, 32, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 4, 4, 22, 17, 0, 37, 18, 11, 9, 13, 19, 9, 10, 14, 4, 16, 1, 6, 14, 6, 8, 8, 14, 6, 12, 7, 7, 6, 9, 6, 5, 0, 2, 7, 12, 3, 9, 6, 10, 15, 5, 15, 3, 2, 7, 12, 9, 14, 0, 0, 0, 0, 5, 0, 27, 12, 15, 10, 28, 3, 15, 4, 38, 8, 6, 18, 26, 12, 20, 8, 7, 9, 13, 8, 18, 9, 8, 4, 4, 7, 0, 0, 0, 0, 2, 2, 5, 7, 6, 0, 0, 4, 1, 0, 3, 1, 3, 0, 1, 0, 0, 0, 1, 0, 20, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
869, 66, 774, 11.7272727272727, 130, 49, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 9, 4, 16, 22, 8, 17, 10, 22, 8, 3, 15, 19, 7, 5, 5, 52, 5, 8, 2, 2, 14, 25, 6, 6, 5, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 2, 1, 2, 10, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 47, 5, 10, 22, 37, 6, 14, 3, 32, 5, 15, 16, 10, 38, 29, 15, 2, 24, 19, 43, 22, 6, 0, 2, 6, 0, 0, 0, 0, 0, 4, 4, 7, 3, 2, 2, 4, 4, 5, 5, 2, 1, 5, 0, 0, 2, 1, 1, 2, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
934, 47, 868, 18.468085106383, 121, 32, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 4, 4, 22, 19, 0, 26, 21, 11, 15, 19, 20, 7, 11, 11, 6, 16, 1, 7, 15, 7, 8, 9, 12, 5, 14, 8, 10, 5, 11, 8, 5, 0, 3, 7, 12, 5, 10, 9, 9, 15, 11, 18, 5, 2, 9, 14, 7, 13, 0, 0, 0, 0, 5, 0, 29, 17, 18, 8, 31, 5, 15, 7, 43, 7, 5, 20, 30, 14, 22, 10, 5, 12, 13, 10, 15, 13, 12, 4, 4, 6, 0, 0, 0, 0, 0, 4, 5, 7, 6, 0, 0, 4, 1, 0, 3, 1, 2, 1, 1, 0, 0, 0, 1, 0, 18, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
655, 45, 584, 12.9777777777778, 82, 33, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 5, 6, 8, 4, 8, 4, 10, 4, 4, 5, 17, 9, 5, 3, 12, 12, 12, 10, 2, 2, 0, 5, 1, 0, 5, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 2, 1, 2, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 39, 28, 12, 12, 41, 12, 4, 3, 36, 1, 11, 14, 10, 18, 13, 13, 0, 23, 29, 35, 16, 10, 0, 2, 6, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 6, 2, 0, 2, 1, 3, 2, 5, 0, 0, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2599, 170, 2185, 12.8529411764706, 371, 332, 0, 0, 0, 0, 0, 0, 0, 13, 13, 0, 7, 8, 47, 74, 8, 96, 90, 57, 40, 58, 66, 29, 30, 29, 16, 60, 17, 6, 26, 6, 0, 12, 20, 10, 14, 18, 15, 8, 8, 8, 9, 6, 8, 13, 18, 11, 9, 24, 5, 18, 31, 29, 5, 5, 5, 10, 5, 9, 3, 0, 3, 0, 0, 0, 69, 19, 59, 51, 118, 18, 41, 23, 98, 14, 15, 44, 72, 39, 70, 33, 6, 42, 63, 48, 32, 19, 22, 15, 11, 9, 0, 0, 0, 0, 0, 23, 11, 28, 13, 4, 4, 8, 8, 3, 5, 7, 5, 6, 3, 3, 0, 2, 1, 2, 169, 62, 49, 25, 25, 25, 22, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1184, 70, 1077, 15.3857142857143, 149, 48, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 3, 5, 21, 22, 1, 13, 10, 6, 10, 13, 10, 5, 7, 12, 4, 15, 3, 10, 27, 14, 13, 10, 10, 4, 18, 7, 11, 3, 7, 7, 1, 2, 2, 6, 13, 4, 11, 12, 11, 13, 15, 12, 5, 2, 9, 13, 7, 12, 0, 0, 0, 0, 7, 0, 56, 22, 20, 13, 49, 12, 18, 12, 66, 9, 16, 33, 38, 33, 36, 19, 7, 20, 30, 37, 28, 13, 14, 2, 6, 6, 0, 0, 0, 0, 5, 6, 5, 5, 5, 9, 2, 3, 3, 0, 4, 2, 2, 3, 0, 1, 0, 1, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2461, 131, 2204, 16.824427480916, 338, 171, 0, 2, 0, 0, 0, 0, 0, 8, 8, 0, 6, 4, 61, 62, 17, 108, 73, 69, 34, 60, 46, 29, 28, 40, 26, 38, 27, 2, 56, 2, 0, 9, 10, 11, 14, 23, 10, 10, 12, 9, 14, 8, 8, 8, 21, 11, 10, 18, 5, 15, 19, 25, 4, 13, 3, 14, 13, 5, 1, 0, 1, 0, 0, 0, 82, 41, 38, 63, 115, 35, 29, 19, 66, 12, 19, 33, 60, 42, 76, 40, 10, 49, 71, 54, 28, 28, 10, 26, 18, 10, 0, 0, 0, 0, 0, 14, 7, 17, 7, 3, 2, 5, 7, 5, 2, 4, 15, 3, 3, 3, 2, 0, 1, 0, 105, 39, 28, 21, 16, 12, 7, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5396, 468, 4694, 10.0299145299145, 849, 494, 5, 142, 11, 0, 5, 1, 34, 2, 2, 3, 1, 34, 100, 45, 101, 89, 51, 30, 101, 42, 27, 25, 14, 26, 20, 87, 60, 90, 170, 90, 6, 5, 8, 4, 18, 89, 10, 7, 2, 5, 16, 7, 7, 11, 11, 5, 9, 4, 5, 7, 26, 23, 7, 6, 7, 4, 2, 4, 5, 0, 5, 0, 7, 0, 215, 74, 104, 160, 294, 68, 78, 102, 154, 8, 14, 133, 70, 175, 227, 126, 11, 212, 153, 286, 67, 11, 78, 70, 47, 13, 2, 0, 2, 0, 26, 30, 42, 51, 36, 47, 43, 37, 13, 7, 10, 11, 13, 7, 9, 9, 17, 4, 6, 4, 208, 69, 43, 31, 27, 17, 14, 9, 9, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
